stationId,stationName,parkingQRBikeCnt,parkingELECBikeCnt,stationLongitude,stationLatitude,parkingTotBikeCnt,goo,dong
ST-199,384. 종로학원본원 ,0,0,126.96850586,37.55978012,0,중구,중림동
ST-336,385. 종각역 5번출구,22,3,126.98265839,37.56983566,25,종로구,종로1·2·3·4가동
ST-338,387. 훈련원공원주차장 앞,5,2,127.00346375,37.56699371,7,중구,을지로동
ST-444,388. 동성중학교 앞,0,0,127.0016098,37.58573532,0,종로구,혜화동
ST-943,389. 을지로4가역 1번출구,1,1,126.99660492,37.5667305,2,중구,을지로동
ST-944,390. 충무로역 1번출구,3,0,126.9953537,37.56138992,3,중구,필동
ST-977,391. 시립미술관,4,2,126.97340393,37.56505203,6,중구,소공동
ST-1372,393. 동대문역 8번 출구,9,4,127.00937653,37.57014084,13,종로구,종로5·6가동
ST-1373,394. 경희궁 자이 3단지,5,1,126.96591949,37.56748962,6,종로구,교남동
ST-1374,395. 경희궁 자이 2단지,1,0,126.96456146,37.56885529,1,종로구,교남동
ST-1432,397. 종묘공영주차장 건너편,6,1,126.99663544,37.57048035,7,종로구,종로1·2·3·4가동
ST-1435,398. 을지로3가역 3번출구,1,0,126.99243927,37.56655884,1,중구,을지로동
ST-1436,399. 서울역 센트럴 자이아파트,0,0,126.96540833,37.55410767,0,중구,중림동
ST-110,400. 상암한화오벨리스크 1차 앞,0,0,126.88300323,37.58752441,0,마포구,상암동
ST-76,401. 상암월드컵파크 10단지 앞,0,2,126.88161469,37.58618927,2,마포구,상암동
ST-77,402. 상암월드컵파크 9단지 앞,2,2,126.87983704,37.5829277,4,마포구,상암동
ST-78,403. 부엉이공원 앞,0,0,126.88472748,37.58559036,0,마포구,상암동
ST-80,405. DMC빌 앞,12,1,126.88578796,37.58265686,13,마포구,상암동
ST-81,406. 상암월드컵파크 7단지 앞,10,1,126.88087463,37.58111191,11,마포구,상암동
